Commit SHA,Filename,Old function signature,New function signature
e39c1767feeef68398212012e3ea7c55d7e07efb,CreateCustomerPaymentProfile.java,"CreateCustomerPaymentProfile::run( String apiLoginId , String transactionKey)","CreateCustomerPaymentProfile::run( String apiLoginId , String transactionKey , String customerProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,CreateCustomerProfile.java,"CreateCustomerProfile::run( String apiLoginId , String transactionKey)","CreateCustomerProfile::run( String apiLoginId , String transactionKey , String eMail)"
e39c1767feeef68398212012e3ea7c55d7e07efb,CreateCustomerShippingAddress.java,"CreateCustomerShippingAddress::run( String apiLoginId , String transactionKey)","CreateCustomerShippingAddress::run( String apiLoginId , String transactionKey , String customerProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,DeleteCustomerPaymentProfile.java,"DeleteCustomerPaymentProfile::run( String apiLoginId , String transactionKey)","DeleteCustomerPaymentProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,DeleteCustomerProfile.java,"DeleteCustomerProfile::run( String apiLoginId , String transactionKey)","DeleteCustomerProfile::run( String apiLoginId , String transactionKey , String customerProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,DeleteCustomerShippingAddress.java,"DeleteCustomerShippingAddress::run( String apiLoginId , String transactionKey)","DeleteCustomerShippingAddress::run( String apiLoginId , String transactionKey , String customerProfileId , String customerAddressId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetCustomerPaymentProfile.java,"GetCustomerPaymentProfile::run( String apiLoginId , String transactionKey)","GetCustomerPaymentProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetCustomerProfile.java,"GetCustomerProfile::run( String apiLoginId , String transactionKey)","GetCustomerProfile::run( String apiLoginId , String transactionKey , String customerProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetCustomerShippingAddress.java,"GetCustomerShippingAddress::run( String apiLoginId , String transactionKey)","GetCustomerShippingAddress::run( String apiLoginId , String transactionKey , String customerProfileId , String customerAddressId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetHostedProfilePage.java,"GetHostedProfilePage::run( String apiLoginId , String transactionKey)","GetHostedProfilePage::run( String apiLoginId , String transactionKey , String customerProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,UpdateCustomerPaymentProfile.java,"UpdateCustomerPaymentProfile::run( String apiLoginId , String transactionKey)","UpdateCustomerPaymentProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,UpdateCustomerProfile.java,"UpdateCustomerProfile::run( String apiLoginId , String transactionKey)","UpdateCustomerProfile::run( String apiLoginId , String transactionKey , String customerProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,UpdateCustomerShippingAddress.java,"UpdateCustomerShippingAddress::run( String apiLoginId , String transactionKey)","UpdateCustomerShippingAddress::run( String apiLoginId , String transactionKey , String customerProfileID , String customerAddressId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,ValidateCustomerPaymentProfile.java,"ValidateCustomerPaymentProfile::run( String apiLoginId , String transactionKey)","ValidateCustomerPaymentProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,AuthorizeCreditCard.java,"AuthorizeCreditCard::run( String apiLoginId , String transactionKey)","AuthorizeCreditCard::run( String apiLoginId , String transactionKey , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,CapturePreviouslyAuthorizedAmount.java,"CapturePreviouslyAuthorizedAmount::run( String apiLoginId , String transactionKey)","CapturePreviouslyAuthorizedAmount::run( String apiLoginId , String transactionKey , String transactionID)"
e39c1767feeef68398212012e3ea7c55d7e07efb,ChargeCreditCard.java,"ChargeCreditCard::run( String apiLoginId , String transactionKey)","ChargeCreditCard::run( String apiLoginId , String transactionKey , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,ChargeCustomerProfile.java,"ChargeCustomerProfile::run( String apiLoginId , String transactionKey)","ChargeCustomerProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,CreditBankAccount.java,"CreditBankAccount::run( String apiLoginId , String transactionKey)","CreditBankAccount::run( String apiLoginId , String transactionKey , String transactionID)"
e39c1767feeef68398212012e3ea7c55d7e07efb,RefundTransaction.java,"RefundTransaction::run( String apiLoginId , String transactionKey)","RefundTransaction::run( String apiLoginId , String transactionKey , Double transactionAmount , String transactionID)"
e39c1767feeef68398212012e3ea7c55d7e07efb,VoidTransaction.java,"VoidTransaction::run( String apiLoginId , String transactionKey)","VoidTransaction::run( String apiLoginId , String transactionKey , String transactionID)"
e39c1767feeef68398212012e3ea7c55d7e07efb,AuthorizationAndCapture.java,"AuthorizationAndCapture::run( String apiLoginId , String transactionKey)","AuthorizationAndCapture::run( String apiLoginId , String transactionKey , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,AuthorizationAndCaptureContinue.java,"AuthorizationAndCaptureContinue::run( String apiLoginId , String transactionKey , String TransactionID , String payerID)","AuthorizationAndCaptureContinue::run( String apiLoginId , String transactionKey , String TransactionID , String payerID , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,AuthorizationOnly.java,"AuthorizationOnly::run( String apiLoginId , String transactionKey)","AuthorizationOnly::run( String apiLoginId , String transactionKey , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,AuthorizationOnlyContinued.java,"AuthorizationOnlyContinued::run( String apiLoginId , String transactionKey , String transactionId , String payerId)","AuthorizationOnlyContinued::run( String apiLoginId , String transactionKey , String transactionId , String payerId , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetDetails.java,"GetDetails::run( String apiLoginId , String transactionKey)","GetDetails::run( String apiLoginId , String transactionKey , String transactionID)"
e39c1767feeef68398212012e3ea7c55d7e07efb,Void.java,"Void::run( String apiLoginId , String transactionKey)","Void::run( String apiLoginId , String transactionKey , String transactionID)"
e39c1767feeef68398212012e3ea7c55d7e07efb,CancelSubscription.java,"CancelSubscription::run( String apiLoginId , String transactionKey)","CancelSubscription::run( String apiLoginId , String transactionKey , String subscriptionId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,CreateSubscription.java,"CreateSubscription::run( String apiLoginId , String transactionKey)","CreateSubscription::run( String apiLoginId , String transactionKey , short intervalLength , Double amount)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetSubscription.java,"GetSubscription::run( String apiLoginId , String transactionKey)","GetSubscription::run( String apiLoginId , String transactionKey , String subscriptionId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetSubscriptionStatus.java,"GetSubscriptionStatus::run( String apiLoginId , String transactionKey)","GetSubscriptionStatus::run( String apiLoginId , String transactionKey , String subscriptionId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,UpdateSubscription.java,"UpdateSubscription::run( String apiLoginId , String transactionKey)","UpdateSubscription::run( String apiLoginId , String transactionKey , String subscriptionId)"
e39c1767feeef68398212012e3ea7c55d7e07efb,GetTransactionDetails.java,"GetTransactionDetails::run( String apiLoginId , String transactionKey)","GetTransactionDetails::run( String apiLoginId , String transactionKey , String transactionId)"
28d41aea79f36a5bf86c5accb21b985c7a4a4997,CaptureFundsAuthorizedThroughAnotherChannel.java,"CaptureFundsAuthorizedThroughAnotherChannel::run( String apiLoginId , String transactionKey)","CaptureFundsAuthorizedThroughAnotherChannel::run( String apiLoginId , String transactionKey , Double amount)"
28d41aea79f36a5bf86c5accb21b985c7a4a4997,ChargeCustomerProfile.java,"ChargeCustomerProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId)","ChargeCustomerProfile::run( String apiLoginId , String transactionKey , String customerProfileId , String customerPaymentProfileId , Double amount)"
1d6789c66a8f7e636e7d1c5fd3fd6e9b3a82cea3,DebitBankAccount.java,"DebitBankAccount::run( String apiLoginId , String transactionKey)","DebitBankAccount::run( String apiLoginId , String transactionKey , Double amount)"
1b6adc89c5b0cefbbeb1e633e6142b0e48ec421c,ChargeTokenizedCreditCard.java,"ChargeTokenizedCreditCard::run( String apiLoginId , String transactionKey)","ChargeTokenizedCreditCard::run( String apiLoginId , String transactionKey , Double amount)"
3d4748c98c848dabfedce1e4546d3329f3377dcc,CreateCustomerProfileFromTransaction.java,"CreateCustomerProfileFromTransaction::run( String apiLoginId , String transactionKey)","CreateCustomerProfileFromTransaction::run( String apiLoginId , String transactionKey , Double amount , String email)"
a3eb751df752ea36bfbc25af0c0fcf688d572c45,CreditBankAccount.java,"CreditBankAccount::run( String apiLoginId , String transactionKey , String transactionID)","CreditBankAccount::run( String apiLoginId , String transactionKey , String transactionID , Double amount)"
c24fac3c33f776904dce12ff5a6e3cf467bec34a,GetHostedPaymentPage.java,"GetHostedPaymentPage::run( String apiLoginId , String transactionKey)","GetHostedPaymentPage::run( String apiLoginId , String transactionKey , Double amount)"
