Commit SHA,Filename,Old function signature,New function signature,Overloaded
bb0ab4c92f297b09ddd5c031b47273813071801c,RestAdapter.java,"RestAdapter::findAnnotation( Method method , Class<T> annotationClass , Annotation previousFind)","RestAdapter::findAnnotation( Annotation [ ] annotations , Class<A> annotationType , Method method , int parameterIndex)",No
a1cee2eb489f4a3369ff24e94d39dabf939aa12e,HttpMethodType.java,useMultipart( Class <?> [ ] parameterTypes),"useMultipart( Class <?> [ ] parameterTypes , Annotation [ ] [ ] parameterAnnotations)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,CallbackResponseHandler.java,CallbackResponseHandler<T>::CallbackResponseHandler( Callback<T> callback),"CallbackResponseHandler<T>::CallbackResponseHandler( Gson gson , Callback<T> callback)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,Fetcher.java,"Fetcher::Fetcher( Provider<HttpClient> httpClientProvider , Executor executor , MainThread mainThread)","Fetcher::Fetcher( Gson gson , Provider<HttpClient> httpClientProvider , Executor executor , MainThread mainThread)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,Fetcher.java,"Fetcher::DownloadHandler::DownloadHandler( ByteSink . Factory destination , UiCallback<Void> callback , ProgressListener progressListener , MainThread mainThread)","Fetcher::DownloadHandler::DownloadHandler( Gson gson , ByteSink . Factory destination , UiCallback<Void> callback , ProgressListener progressListener , MainThread mainThread)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,GsonResponseHandler.java,"GsonResponseHandler<T>::GsonResponseHandler( Type type , Callback<T> callback)","GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,GsonResponseHandler.java,"GsonResponseHandler<T>::create( Type type , Callback<T> callback)","GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,HttpRequestBuilderTest.java,HttpRequestBuilderTest::MyCallback::clientError( SimpleResponse response),"HttpRequestBuilderTest::MyCallback::clientError( SimpleResponse response , int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,HttpRequestBuilderTest.java,HttpRequestBuilderTest::MyCallback::serverError( String message),"HttpRequestBuilderTest::MyCallback::serverError( String message , int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,RestAdapterTest.java,RestAdapterTest::expectResponseCalls( String jsonToReturn),"RestAdapterTest::expectResponseCalls( String jsonToReturn , int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,UiCallback.java,UiCallback<T>::clientError( final T response),"UiCallback<T>::clientError( final T response , final int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,UiCallback.java,UiCallback<T>::serverError( final String message),"UiCallback<T>::serverError( final String message , final int statusCode)",No
a258d06492617e27a1515e7618d13336920dd9f1,RestAdapter.java,"RestAdapter::RestHandler::backgroundInvoke( Method method , Object [ ] args)","RestAdapter::RestHandler::backgroundInvoke( HttpUriRequest request , Method method , UiCallback <?> callback)",No
c9f5ec07de590fccc69f3a3f3500156893ccf768,RestAdapter.java,"RestAdapter::RestHandler::backgroundInvoke( Method method , final Object [ ] args)","RestAdapter::RestHandler::backgroundInvoke( HttpUriRequest request , ResponseHandler<Void> rh , UiCallback <?> callback)",No
82b27f3f041c79736c4933049247b429b467af16,GsonResponseHandler.java,"GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback)","GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback , String url , String startTime)",No
82b27f3f041c79736c4933049247b429b467af16,GsonResponseHandler.java,"GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback)","GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback , String url , String startTime)",No
82b27f3f041c79736c4933049247b429b467af16,RestAdapter.java,"RestAdapter::RestHandler::backgroundInvoke( HttpUriRequest request , ResponseHandler<Void> rh , UiCallback <?> callback)","RestAdapter::RestHandler::backgroundInvoke( HttpUriRequest request , ResponseHandler<Void> rh , UiCallback <?> callback , String url , String startTime)",No
82b27f3f041c79736c4933049247b429b467af16,RestAdapter.java,"RestAdapter::RestHandler::createProfiler( ResponseHandler<Void> handlerToWrap , HttpProfiler profiler , Method method , String apiUrl)","RestAdapter::RestHandler::createProfiler( ResponseHandler<Void> handlerToWrap , HttpProfiler profiler , Method method , String apiUrl , Date start)",No
82b27f3f041c79736c4933049247b429b467af16,RestAdapter.java,"RestAdapter::ProfilingResponseHandler::ProfilingResponseHandler( ResponseHandler<Void> delegate , HttpProfiler profiler , HttpProfiler . Method method , String apiUrl , String relativePath)","RestAdapter::ProfilingResponseHandler::ProfilingResponseHandler( ResponseHandler<Void> delegate , HttpProfiler profiler , HttpProfiler . Method method , String apiUrl , String relativePath , long startTime)",No
3ae2ef55412913b5be03a00befa86512cef0077d,GsonResponseHandler.java,"GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback , String url , String startTime)","GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback , String url , Date start , ThreadLocal<SimpleDateFormat> dateFormat)",No
3ae2ef55412913b5be03a00befa86512cef0077d,GsonResponseHandler.java,"GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback , String url , String startTime)","GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback , String url , Date startTime , ThreadLocal<SimpleDateFormat> dateFormat)",No
3ae2ef55412913b5be03a00befa86512cef0077d,HttpClients.java,"HttpClients::copyAndLog( HttpEntity entity , String url , String startTime)","HttpClients::copyAndLog( HttpEntity entity , String url , Date start , SimpleDateFormat dateFormat)",No
9b6bd6bbbe752fceaa4517b3eda7cd678679198d,UiCallback.java,UiCallback<T>::sessionExpired(),UiCallback<T>::sessionExpired( final ServerError error),No
9b6bd6bbbe752fceaa4517b3eda7cd678679198d,HttpRequestBuilderTest.java,HttpRequestBuilderTest::MyCallback::sessionExpired(),HttpRequestBuilderTest::MyCallback::sessionExpired( ServerError error),No
eea6cc6fd33f50607302593bc20f12db642f489e,Fetcher.java,"Fetcher::DownloadHandler::DownloadHandler( Gson gson , ByteSink . Factory destination , UiCallback<Void> callback , ProgressListener progressListener , MainThread mainThread)","Fetcher::DownloadHandler::DownloadHandler( String url , ByteSink . Factory destination , UiCallback<Void> callback , ProgressListener progressListener , MainThread mainThread , Date start , ThreadLocal<DateFormat> dateFormat)",No
eea6cc6fd33f50607302593bc20f12db642f489e,Fetcher.java,Fetcher::DownloadHandler::parse( HttpEntity entity),"Fetcher::DownloadHandler::parse( HttpEntity entity , Type type)",No
3f1c5ab43ac339b81c0b9549e2043490d65bdd3e,HttpRequestBuilder.java,HttpRequestBuilder::setMethod( Method method),"HttpRequestBuilder::setMethod( Method method , boolean isSynchronous)",No
3f1c5ab43ac339b81c0b9549e2043490d65bdd3e,RestAdapterTest.java,RestAdapterTest::Response::Response(),RestAdapterTest::Response::Response( String text),No
6fffb109d3b23cbc9964a33ad630f1f17a569cc3,ApacheClient.java,ApacheClient::execute( HttpUriRequest apacheRequest),"ApacheClient::execute( HttpClient client , HttpUriRequest request)",Yes
00c23fb8a4c80480f5a95cf668be488091affa69,RestAdapter.java,"RestAdapter::RestAdapter( Server server , Client . Provider clientProvider , Executor httpExecutor , Executor callbackExecutor , Headers headers , Converter converter , Profiler profiler)","RestAdapter::RestAdapter( Server server , Client . Provider clientProvider , Executor httpExecutor , Executor callbackExecutor , Headers headers , Converter converter , Profiler profiler , Log log , boolean debug)",No
78e190d989aa9642df890588b69d12e7c11a3f20,RequestBuilderTest.java,"RequestBuilderTest::Helper::addParam( String path , String query , String pair , String part , Object value)","RequestBuilderTest::Helper::addParam( String path , String query , String pair , String part , String header , Object value)",No
054d165acd9a4ce34e6cceb99246ac080b13b858,RestAdapter.java,"RestAdapter::RestAdapter( Server server , Client . Provider clientProvider , Executor httpExecutor , Executor callbackExecutor , RequestHeaders requestHeaders , Converter converter , Profiler profiler , Log log , boolean debug)","RestAdapter::RestAdapter( Server server , Client . Provider clientProvider , Executor httpExecutor , Executor callbackExecutor , RequestHeaders requestHeaders , Converter converter , Profiler profiler , ErrorHandler errorHandler , Log log , boolean debug)",No
7ddaabb80d098909e3c809c865f9938d8a6eb18e,RequestBuilder.java,RequestBuilder::RequestBuilder( Converter converter),"RequestBuilder::RequestBuilder( Converter converter , RestMethodInfo methodInfo)",No
409cf14a9c4cdeece9a00db03f1d2c6660936f1d,GsonConverter.java,GsonConverter::JsonTypedOutput::JsonTypedOutput( byte [ ] jsonBytes),"GsonConverter::JsonTypedOutput::JsonTypedOutput( byte [ ] jsonBytes , String encode)",No
16bca3e7afe22e6868315f3a6d083464f5b082bf,RequestBuilder.java,"RequestBuilder::addPathParam( String name , String value)","RequestBuilder::addPathParam( String name , String value , Boolean disableUrlEncoding)",No
16bca3e7afe22e6868315f3a6d083464f5b082bf,RequestBuilder.java,"RequestBuilder::addQueryParam( String name , String value)","RequestBuilder::addQueryParam( String name , String value , Boolean disableUrlEncoding)",No
cf26c7a185a10d74c50f31e4aafee046a6f3e155,RestAdapter.java,"RestAdapter::RestHandler::invokeRequest( RestMethodInfo methodDetails , Object [ ] args)","RestAdapter::RestHandler::invokeRequest( RequestInterceptor requestInterceptor , RestMethodInfo methodDetails , Object [ ] args)",No
184578c24c4d4acea14b32c6031b67e5dd30ae50,MultipartTypedOutput.java,"MultipartTypedOutput::MimePart::MimePart( String name , TypedOutput body , boolean isFirst)","MultipartTypedOutput::MimePart::MimePart( String name , TypedOutput body , String boundary , boolean isFirst)",No
464011a2c1c095ac00c63960fe13def9839de75d,RestAdapter.java,RestAdapter::logAndReplaceRequest( Request request),"RestAdapter::logAndReplaceRequest( String name , Request request)",No
25c15a7e3fd60f0b581a0ae6b1c2d6beb777b47d,MockHttpException.java,"MockHttpException::MockHttpException( int code , Object responseBody)","MockHttpException::MockHttpException( int code , String reason , Object responseBody)",No
5590cade0203bebe3d6e900eaee3b66d70ff487a,RestAdapter.java,RestAdapter::logAndReplaceRequest( Request request),"RestAdapter::logAndReplaceRequest( String name , Request request)",No
985355d26bbe7b0760203c8ff53d7f40c1b09593,ApacheClient.java,ApacheClient::parseResponse( HttpResponse response),"ApacheClient::parseResponse( String url , HttpResponse response)",No
985355d26bbe7b0760203c8ff53d7f40c1b09593,Response.java,"Response::Response( int status , String reason , List<Header> headers , TypedInput body)","Response::Response( String url , int status , String reason , List<Header> headers , TypedInput body)",No
4eaf974bbde6dc7eb4a99a0c5bcfe27d1d6cde18,RestMethodInfo.java,RestMethodInfo::validatePathName( String name),"RestMethodInfo::validatePathName( int index , String name)",No
0ec74bb51fc20648f33d1a8f2ee8b90f0c17b2e4,RequestBuilder.java,"RequestBuilder::RequestBuilder( Converter converter , RestMethodInfo methodInfo)","RequestBuilder::RequestBuilder( String apiUrl , RestMethodInfo methodInfo , Converter converter)",No
4c8e18a847e006d961ff2fcde993fe1336b73caa,CallbackRunnable.java,"CallbackRunnable<T>::CallbackRunnable( Callback<T> callback , Executor callbackExecutor)","CallbackRunnable<T>::CallbackRunnable( Callback<T> callback , Executor callbackExecutor , ErrorHandler errorHandler)",No
4c8e18a847e006d961ff2fcde993fe1336b73caa,RestAdapter.java,RestAdapter::RxSupport::RxSupport( Executor executor),"RestAdapter::RxSupport::RxSupport( Executor executor , ErrorHandler errorHandler)",No
1ce366a9e6dcfea27c1094071947f701223cb43a,MockHttpRetrofitError.java,"MockHttpRetrofitError::MockHttpRetrofitError( String url , Response response , Object body)","MockHttpRetrofitError::MockHttpRetrofitError( String message , String url , Response response , Object body)",No
1ce366a9e6dcfea27c1094071947f701223cb43a,RetrofitError.java,"RetrofitError::RetrofitError( String url , Response response , Converter converter , Type successType , boolean networkError , Throwable exception)","RetrofitError::RetrofitError( String message , String url , Response response , Converter converter , Type successType , boolean networkError , Throwable exception)",No
11b000ab845d13381efc6af447362e0c0a68d12e,RxSupport.java,"RxSupport::RxSupport( Executor executor , ErrorHandler errorHandler)","RxSupport::RxSupport( Executor executor , ErrorHandler errorHandler , RequestInterceptor requestInterceptor)",No
11b000ab845d13381efc6af447362e0c0a68d12e,RxSupport.java,"RxSupport::getRunnable( final Subscriber<?super Object> subscriber , final Callable<ResponseWrapper> request)","RxSupport::getRunnable( final Subscriber<?super Object> subscriber , final Invoker invoker , final RequestInterceptorTape interceptorTape)",No
5423fc36ad564725132f52811a066c13712d0438,MockHttpRetrofitError.java,"MockHttpRetrofitError::MockHttpRetrofitError( String message , String url , Response response , Object body)","MockHttpRetrofitError::MockHttpRetrofitError( String message , String url , Response response , Object body , Type responseType)",No
9e17b6c11922150d607c812feb397e141089eed6,Person.java,Person::PhoneNumber::PhoneNumber( Builder builder),"Person::PhoneNumber::PhoneNumber( String number , PhoneType type)",Yes
9e17b6c11922150d607c812feb397e141089eed6,Person.java,Person::Person( Builder builder),"Person::Person( String name , Integer id , String email , List<PhoneNumber> phone)",Yes
61e60c97e6315cc21a97a0470a3bd7f5c7b0d2eb,RestAdapter.java,"RestAdapter::logAndReplaceRequest( String name , Request request)","RestAdapter::logAndReplaceRequest( String name , Request request , Object [ ] args)",No
269cc05ca52b61cc2fe806a6f57ff85d4416f9d7,UrlFetchClient.java,UrlFetchClient::parseResponse( HTTPResponse response),"UrlFetchClient::parseResponse( HTTPResponse response , HTTPRequest creatingRequest)",No
5795931d159f0a591e5dad3d9de6f8d0e9785413,MultipartTypedOutput.java,"MultipartTypedOutput::MimePart::MimePart( String name , TypedOutput body , String boundary , boolean isFirst)","MultipartTypedOutput::MimePart::MimePart( String name , String transferEncoding , TypedOutput body , String boundary , boolean isFirst)",No
5795931d159f0a591e5dad3d9de6f8d0e9785413,MultipartTypedOutput.java,"MultipartTypedOutput::buildHeader( String name , TypedOutput value)","MultipartTypedOutput::buildHeader( String name , String transferEncoding , TypedOutput value)",No
46598adb1da0f6d2498d9f8b815b170bf95fe1f8,RequestBuilder.java,"RequestBuilder::addQueryParam( String name , String value , boolean urlEncodeValue)","RequestBuilder::addQueryParam( String name , Object value , boolean encodeName , boolean encodeValue)",Yes
56f11374c2f5d037e57d274a3c72f9694cd9e05c,MockRestAdapter.java,MockRestAdapter::from( RestAdapter restAdapter),"MockRestAdapter::from( RestAdapter restAdapter , Executor executor)",No
56f11374c2f5d037e57d274a3c72f9694cd9e05c,MockRestAdapter.java,MockRestAdapter::MockRestAdapter( RestAdapter restAdapter),"MockRestAdapter::MockRestAdapter( RestAdapter restAdapter , Executor executor)",No
56f11374c2f5d037e57d274a3c72f9694cd9e05c,MockRestAdapter.java,MockRestAdapter::MockRxSupport::MockRxSupport( RestAdapter restAdapter),"MockRestAdapter::MockRxSupport::MockRxSupport( RestAdapter restAdapter , Executor executor)",No
56f11374c2f5d037e57d274a3c72f9694cd9e05c,ApacheClient.java,ApacheClient::execute( Request request),"ApacheClient::execute( Request request , AsyncCallback callback)",Yes
56f11374c2f5d037e57d274a3c72f9694cd9e05c,OkClient.java,OkClient::execute( Request request),"OkClient::execute( Request request , final AsyncCallback callback)",No
56f11374c2f5d037e57d274a3c72f9694cd9e05c,UrlConnectionClient.java,UrlConnectionClient::execute( Request request),"UrlConnectionClient::execute( Request request , AsyncCallback callback)",No
56f11374c2f5d037e57d274a3c72f9694cd9e05c,ErrorHandlerTest.java,ErrorHandlerTest::MockInvalidResponseClient::execute( Request request),"ErrorHandlerTest::MockInvalidResponseClient::execute( Request request , AsyncCallback callback)",No
290c171cae59a6dd3c8416b69ee2985bc0097db9,JacksonConverter.java,JacksonConverter::toBody( Object object),"JacksonConverter::toBody( Object object , Type type)",No
290c171cae59a6dd3c8416b69ee2985bc0097db9,ProtoConverter.java,ProtoConverter::toBody( Object object),"ProtoConverter::toBody( Object object , Type type)",No
290c171cae59a6dd3c8416b69ee2985bc0097db9,SimpleXMLConverter.java,SimpleXMLConverter::toBody( Object source),"SimpleXMLConverter::toBody( Object source , Type type)",No
290c171cae59a6dd3c8416b69ee2985bc0097db9,WireConverter.java,WireConverter::toBody( Object object),"WireConverter::toBody( Object object , Type type)",No
290c171cae59a6dd3c8416b69ee2985bc0097db9,GsonConverter.java,GsonConverter::toBody( Object object),"GsonConverter::toBody( Object object , Type type)",No
b01bc2af87ef5265e5b2f609dfc283d7aa931428,RetrofitError.java,"RetrofitError::unexpectedError( String url , Throwable exception)","RetrofitError::unexpectedError( String url , Response response , Converter converter , Type successType , Throwable exception)",Yes
b9fe6f99398843d84cb967cea29a53996019e4ba,MockHttpException.java,MockHttpException::toResponse( Converter converter),"MockHttpException::toResponse( Request request , Converter converter)",No
297a9ee8c88e7640619d4f15dfb305f9c281f320,RequestBuilder.java,"RequestBuilder::addPathParam( String name , String value)","RequestBuilder::addPathParam( String name , String value , boolean urlEncodeValue)",No
297a9ee8c88e7640619d4f15dfb305f9c281f320,RequestBuilder.java,"RequestBuilder::addQueryParam( String name , String value)","RequestBuilder::addQueryParam( String name , Object value , boolean encodeName , boolean encodeValue)",Yes
2ca195069c02c48d7d862913247e08000e282439,MethodInfo.java,MethodInfo::MethodInfo( Method method),"MethodInfo::MethodInfo( Method method , List<CallAdapter.Factory> factories)",No
9b203b66891c1d363529a1b2b46c8968bf54d7cc,MethodInfo.java,"MethodInfo::MethodInfo( Method method , List<CallAdapter.Factory> factories)","MethodInfo::MethodInfo( Method method , List<CallAdapter.Factory> factories , Converter converter)",No
f15eee44eda9750b9d1341ff0801385426775e1f,RequestBuilder.java,"RequestBuilder::RequestBuilder( HttpUrl url , MethodInfo methodInfo)","RequestBuilder::RequestBuilder( String method , HttpUrl url , String pathUrl , String queryParams , Headers headers , MediaType mediaType , boolean hasBody , boolean isFormEncoded , boolean isMultipart)",No
f4a12cbb41130fe88bfb84f390e5985ab62dade0,Platform.java,Platform::defaultCallAdapterFactory(),Platform::defaultCallAdapterFactory( Executor callbackExecutor),No
f4a12cbb41130fe88bfb84f390e5985ab62dade0,Platform.java,Platform::Android::defaultCallAdapterFactory(),Platform::Android::defaultCallAdapterFactory( Executor callbackExecutor),No
f4a12cbb41130fe88bfb84f390e5985ab62dade0,Retrofit.java,"Retrofit::Retrofit( OkHttpClient client , Endpoint endpoint , Converter . Factory converterFactory , CallAdapter . Factory adapterFactory)","Retrofit::Retrofit( OkHttpClient client , Endpoint endpoint , Converter . Factory converterFactory , CallAdapter . Factory adapterFactory , Executor callbackExecutor)",No
d03d9c0016dfa36012b9899db36fe6eb6e62167e,SimpleMockService.java,SimpleMockService::MockGitHub::MockGitHub(),SimpleMockService::MockGitHub::MockGitHub( MockRetrofit mockRetrofit),No
4c584a5c8718944f3bd1e34bfb4d3014dae08fd7,RequestFactoryParser.java,"RequestFactoryParser::parameterError( int index , String message , Object ... args)","RequestFactoryParser::parameterError( Throwable cause , int index , String message , Object ... args)",Yes
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,RxJavaCallAdapterFactory.java,RxJavaCallAdapterFactory::get( Type returnType),"RxJavaCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,RxJavaCallAdapterFactoryTest.java,RxJavaCallAdapterFactoryTest::StringConverterFactory::get( Type type),"RxJavaCallAdapterFactoryTest::StringConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,GsonConverterFactory.java,GsonConverterFactory::get( Type type),"GsonConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,JacksonConverterFactory.java,JacksonConverterFactory::get( Type type),"JacksonConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,MoshiConverterFactory.java,MoshiConverterFactory::get( Type type),"MoshiConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,ProtoConverterFactory.java,ProtoConverterFactory::get( Type type),"ProtoConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,SimpleXmlConverterFactory.java,SimpleXmlConverterFactory::get( Type type),"SimpleXmlConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,WireConverterFactory.java,WireConverterFactory::get( Type type),"WireConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,ExecutorCallAdapterFactory.java,ExecutorCallAdapterFactory::get( Type returnType),"ExecutorCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,OkHttpBodyConverterFactory.java,OkHttpBodyConverterFactory::get( Type type),"OkHttpBodyConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,RequestBuilderAction.java,"RequestBuilderAction::PartMap::PartMap( List<Converter.Factory> converterFactories , String transferEncoding)","RequestBuilderAction::PartMap::PartMap( List<Converter.Factory> converterFactories , String transferEncoding , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,Utils.java,"Utils::resolveCallAdapter( List<CallAdapter.Factory> adapterFactories , Type type)","Utils::resolveCallAdapter( List<CallAdapter.Factory> adapterFactories , Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,Utils.java,"Utils::resolveConverter( List<Converter.Factory> converterFactories , Type type)","Utils::resolveConverter( List<Converter.Factory> converterFactories , Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,ToStringConverterFactory.java,ToStringConverterFactory::get( Type type),"ToStringConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,CustomCallAdapter.java,CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType),"CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)",No
7bcdfb3f5b2cf23965eac5f4779612313c4e652b,Retrofit.java,"Retrofit::Retrofit( OkHttpClient client , BaseUrl baseUrl , List<Converter.Factory> converterFactories , List<CallAdapter.Factory> adapterFactories , Executor callbackExecutor)","Retrofit::Retrofit( OkHttpClient client , BaseUrl baseUrl , List<Converter.Factory> converterFactories , List<CallAdapter.Factory> adapterFactories , Executor callbackExecutor , boolean validateEagerly)",No
eddc0aea76968547b8caf6eeef4663c2ab84714d,RxJavaCallAdapterFactory.java,"RxJavaCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)","RxJavaCallAdapterFactory::get( Type returnType , Annotation [ ] annotations , Retrofit retrofit)",No
eddc0aea76968547b8caf6eeef4663c2ab84714d,ExecutorCallAdapterFactory.java,"ExecutorCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)","ExecutorCallAdapterFactory::get( Type returnType , Annotation [ ] annotations , Retrofit retrofit)",No
eddc0aea76968547b8caf6eeef4663c2ab84714d,CustomCallAdapter.java,"CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)","CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType , Annotation [ ] annotations , Retrofit retrofit)",No
3a777472334263c6f6d1e9cc255b1288bcc02e48,Calls.java,Calls::response( T successValue),"Calls::response( T successValue , Retrofit retrofit)",Yes
3a777472334263c6f6d1e9cc255b1288bcc02e48,Calls.java,Calls::response( final Response<T> response),"Calls::response( final Response<T> response , final Retrofit retrofit)",Yes
3a777472334263c6f6d1e9cc255b1288bcc02e48,ExecutorCallAdapterFactory.java,ExecutorCallAdapterFactory::ExecutorCallback<T>::onResponse( final Response<T> response),"ExecutorCallAdapterFactory::ExecutorCallback<T>::onResponse( final Response<T> response , final Retrofit retrofit)",No
